,count,mean,std,min,25%,50%,75%,max
mean radius,569.0,14.127291739894552,3.524048826212078,6.981,11.7,13.37,15.78,28.11
mean texture,569.0,19.289648506151142,4.301035768166949,9.71,16.17,18.84,21.8,39.28
mean perimeter,569.0,91.96903339191564,24.2989810387549,43.79,75.17,86.24,104.1,188.5
mean area,569.0,654.8891036906855,351.9141291816527,143.5,420.3,551.1,782.7,2501.0
mean smoothness,569.0,0.0963602811950791,0.014064128137673616,0.05263,0.08637,0.09587,0.1053,0.1634
mean compactness,569.0,0.10434098418277679,0.0528127579325122,0.01938,0.06492,0.09263,0.1304,0.3454
mean concavity,569.0,0.0887993158172232,0.0797198087078935,0.0,0.02956,0.06154,0.1307,0.4268
mean concave points,569.0,0.04891914586994728,0.03880284485915359,0.0,0.02031,0.0335,0.074,0.2012
mean symmetry,569.0,0.18116186291739894,0.027414281336035712,0.106,0.1619,0.1792,0.1957,0.304
mean fractal dimension,569.0,0.06279760984182776,0.007060362795084459,0.04996,0.0577,0.06154,0.06612,0.09744
radius error,569.0,0.40517205623901575,0.2773127329861041,0.1115,0.2324,0.3242,0.4789,2.873
texture error,569.0,1.2168534270650264,0.5516483926172023,0.3602,0.8339,1.108,1.474,4.885
perimeter error,569.0,2.8660592267135327,2.021854554042107,0.757,1.606,2.287,3.357,21.98
area error,569.0,40.337079086116,45.49100551613178,6.802,17.85,24.53,45.19,542.2
smoothness error,569.0,0.007040978910369069,0.003002517943839067,0.001713,0.005169,0.00638,0.008146,0.03113
compactness error,569.0,0.025478138840070295,0.017908179325677377,0.002252,0.01308,0.02045,0.03245,0.1354
concavity error,569.0,0.03189371634446397,0.030186060322988394,0.0,0.01509,0.02589,0.04205,0.396
concave points error,569.0,0.011796137082601054,0.006170285174046866,0.0,0.007638,0.01093,0.01471,0.05279
symmetry error,569.0,0.02054229876977153,0.008266371528798399,0.007882,0.01516,0.01873,0.02348,0.07895
fractal dimension error,569.0,0.0037949038664323374,0.0026460709670891942,0.0008948,0.002248,0.003187,0.004558,0.02984
worst radius,569.0,16.269189806678387,4.833241580469324,7.93,13.01,14.97,18.79,36.04
worst texture,569.0,25.677223198594024,6.146257623038323,12.02,21.08,25.41,29.72,49.54
worst perimeter,569.0,107.26121265377857,33.60254226903635,50.41,84.11,97.66,125.4,251.2
worst area,569.0,880.5831282952548,569.3569926699492,185.2,515.3,686.5,1084.0,4254.0
worst smoothness,569.0,0.13236859402460457,0.022832429404835458,0.07117,0.1166,0.1313,0.146,0.2226
worst compactness,569.0,0.25426504393673116,0.15733648891374194,0.02729,0.1472,0.2119,0.3391,1.058
worst concavity,569.0,0.27218848330404216,0.20862428060813235,0.0,0.1145,0.2267,0.3829,1.252
worst concave points,569.0,0.11460622319859401,0.0657323411959421,0.0,0.06493,0.09993,0.1614,0.291
worst symmetry,569.0,0.2900755711775044,0.06186746753751869,0.1565,0.2504,0.2822,0.3179,0.6638
worst fractal dimension,569.0,0.0839458172231986,0.01806126734889399,0.05504,0.07146,0.08004,0.09208,0.2075
